contract,operationId,method,path,recordedRequests,accounts,statuses,evidenceTimes
"advising.openapi.yaml","counsellorCreateStudentIntake","POST","/v2/counsellor/student-intakes","0","","",""
"advising.openapi.yaml","counsellorListStudentIntakes","GET","/v2/counsellor/student-intakes","4","Counsellor 2 | Counsellor 1 | Counsellor 3 | Counsellor 4","200","2026-09-05T07:08:33.864Z | 2026-09-05T07:08:33.874Z | 2026-09-05T07:08:34.965Z | 2026-09-05T07:08:34.975Z"
"advising.openapi.yaml","counsellorGetStudentIntake","GET","/v2/counsellor/student-intakes/{intakeId}","0","","",""
"advising.openapi.yaml","counsellorPatchStudentIntake","PATCH","/v2/counsellor/student-intakes/{intakeId}","0","","",""
"advising.openapi.yaml","counsellorListAdvisors","GET","/v2/counsellor/advisors","4","Counsellor 2 | Counsellor 1 | Counsellor 3 | Counsellor 4","200","2026-09-05T07:08:34.032Z | 2026-09-05T07:08:34.062Z | 2026-09-05T07:08:35.097Z | 2026-09-05T07:08:35.110Z"
"advising.openapi.yaml","counsellorAssignAdvisor","PUT","/v2/counsellor/student-intakes/{intakeId}/advisor","0","","",""
"advising.openapi.yaml","counsellorGetDashboard","GET","/v2/counsellor/dashboard","4","Counsellor 2 | Counsellor 1 | Counsellor 3 | Counsellor 4","200","2026-09-05T07:08:33.726Z | 2026-09-05T07:08:33.734Z | 2026-09-05T07:08:34.827Z | 2026-09-05T07:08:34.830Z"
"advising.openapi.yaml","advisorListInstructors","GET","/v2/advisor/instructors","8","Advisor 2 | Advisor 1 | Advisor 3 | Advisor 4 | Advisor 5 | Advisor 6 | Advisor 8 | Advisor 7","200","2026-09-05T07:08:36.283Z | 2026-09-05T07:08:36.289Z | 2026-09-05T07:08:41.243Z | 2026-09-05T07:08:41.246Z | 2026-09-05T07:08:42.909Z | 2026-09-05T07:08:42.912Z | 2026-09-05T07:08:44.536Z | 2026-09-05T07:08:44.543Z"
"advising.openapi.yaml","advisorListOwnedCourses","GET","/v2/advisor/courses","8","Advisor 2 | Advisor 1 | Advisor 3 | Advisor 4 | Advisor 5 | Advisor 6 | Advisor 8 | Advisor 7","200","2026-09-05T07:08:36.151Z | 2026-09-05T07:08:36.154Z | 2026-09-05T07:08:41.106Z | 2026-09-05T07:08:41.108Z | 2026-09-05T07:08:42.770Z | 2026-09-05T07:08:42.775Z | 2026-09-05T07:08:44.384Z | 2026-09-05T07:08:44.387Z"
"advising.openapi.yaml","advisorListStudents","GET","/v2/advisor/students","8","Advisor 2 | Advisor 1 | Advisor 3 | Advisor 4 | Advisor 5 | Advisor 6 | Advisor 8 | Advisor 7","200","2026-09-05T07:08:36.013Z | 2026-09-05T07:08:36.021Z | 2026-09-05T07:08:40.970Z | 2026-09-05T07:08:40.973Z | 2026-09-05T07:08:42.596Z | 2026-09-05T07:08:42.600Z | 2026-09-05T07:08:44.248Z | 2026-09-05T07:08:44.251Z"
